measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est
Beamstyle_10L4_Intensity,10787114,5,10,7272700,2.5,90,90,56.04,20,8,42,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,2.7
Beamstyle_10L4_Intensity,10787114,5,10,7272700,3.0,90,90,56.04,20,8,50,1,4.0,0,0.5,45.0,0,1,0,0,0,0,0,0,2.7
Beamstyle_10L4_Intensity,10787114,5,10,7272700,4.0,90,90,56.04,20,8,67,1,4.0,0,0.5,75.0,0,1,0,0,0,0,0,0,2.8
Beamstyle_10L4_Intensity,10787114,5,0,7272700,5.0,90,90,56.04,20,8,83,1,4.0,1,0.5,75.0,0,1,0,0,0,0,0,0,2.9
Beamstyle_10L4_Intensity,10787114,5,0,7272700,7.0,90,90,56.04,20,8,117,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,3.1
Beamstyle_10L4_Intensity,10787114,5,0,7272700,9.0,90,90,56.04,20,8,150,1,4.0,1,0.5,115.0,0,1,0,0,0,0,0,0,2.0
Beamstyle_10L4_Intensity,10787114,5,0,7272700,12.0,90,90,56.04,20,8,192,1,4.0,1,0.5,135.0,0,1,0,0,0,0,0,0,2.3
Beamstyle_10L4_Intensity,10787114,10,0,4000000,1.0,90,90,56.04,20,8,13,1,4.0,0,0.5,45.0,1,1,0,0,0,0,0,0,2.4
Beamstyle_10L4_Intensity,10787114,10,0,4000000,1.5,90,90,56.04,20,8,19,1,4.0,0,0.5,45.0,1,1,0,0,0,0,0,0,1.3
Beamstyle_10L4_Intensity,10787114,10,0,4000000,2.0,90,90,56.04,20,8,25,1,4.0,0,0.5,45.0,1,1,0,0,0,0,0,0,3.9
Beamstyle_10L4_Intensity,10787114,10,0,4000000,2.5,90,90,56.04,20,8,31,1,4.0,0,0.5,45.0,1,1,0,0,0,0,0,0,2.8
Beamstyle_10L4_Intensity,10787114,10,0,4000000,3.0,90,90,56.04,20,8,38,1,4.0,0,0.5,45.0,1,1,0,0,0,0,0,0,2.8
Beamstyle_10L4_Intensity,10787114,10,0,4000000,4.0,90,90,56.04,20,8,50,1,4.0,0,0.5,75.0,1,1,0,0,0,0,0,0,2.9
Beamstyle_10L4_Intensity,10787114,10,0,4000000,5.0,90,90,56.04,20,8,63,1,4.0,1,0.5,75.0,1,1,0,0,0,0,0,0,2.9
