measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,1.8,0.8
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.5,0.4
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.7,0.6
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,1.6,0.5
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,3,90,90,56.04,20,8,46,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,1.5,0.5
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,4,90,90,56.04,20,8,53,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,1.6,0.4
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,6,90,90,56.04,20,8,57,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,1.6,-0.9
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,8,90,90,56.04,20,8,59,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,1.5,-1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,3,90,90,56.04,20,8,46,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,4,90,90,56.04,20,8,53,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,6,90,90,56.04,20,8,57,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,8,90,90,56.04,20,8,59,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,3,90,90,56.04,20,8,46,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,4,90,90,56.04,20,8,49,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,6,90,90,56.04,20,8,52,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,8,90,90,56.04,20,8,54,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1,90,90,56.04,20,8,15,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,1.5,90,90,56.04,20,8,23,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,2,90,90,56.04,20,8,30,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,3,90,90,56.04,20,8,46,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,4,90,90,56.04,20,8,49,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,6,90,90,56.04,20,8,52,1,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.5,,
Beamstyle_4DVE_Intensity,11575444,1,20,3333300,8,90,90,56.04,20,8,54,1,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.6,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,0.5,90,90,56.04,20,8,7,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1,90,90,56.04,20,8,15,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,1.5,90,90,56.04,20,8,23,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,2,90,90,56.04,20,8,30,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,3,90,90,56.04,20,8,43,1,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,4,90,90,56.04,20,8,45,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.2,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,6,90,90,56.04,20,8,49,1,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,8,90,90,56.04,20,8,50,1,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.4,,
Beamstyle_4DVE_Intensity,11575444,1,20,3636400,0.5,90,90,56.04,20,8,7,1,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.1,,
