,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex
4,Cb,0,5,16,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,10
5,Cb,0,5,16,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,10
6,Cb,0,5,16,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,10
7,Cb,0,5,16,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,10
8,Cb,0,5,19,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1.0,11
9,Cb,0,5,19,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1.0,11
10,Cb,0,5,19,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1.0,11
11,Cb,0,5,19,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1.0,11
12,Cb,0,5,19,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,11
13,Cb,0,5,19,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,11
14,Cb,0,5,19,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,11
15,Cb,0,5,19,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,11
16,Cb,0,5,21,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1.0,12
17,Cb,0,5,21,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1.0,12
18,Cb,0,5,21,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1.0,12
19,Cb,0,5,21,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1.0,12
20,Cb,0,5,21,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1.0,12
21,Cb,0,5,21,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1.0,12
22,Cb,0,5,21,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1.0,12
23,Cb,0,5,21,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1.0,12
