,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX
91,66,14L5,B,1,1,20,0,0.75,19,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
92,67,14L5,B,1,1,20,0,1.0,25,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
93,68,14L5,B,1,1,20,0,1.5,38,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
94,69,14L5,B,1,1,20,0,2.25,56,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
95,70,14L5,B,1,1,20,0,3.5,88,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
96,71,14L5,B,1,1,20,0,5.25,131,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
97,160,14L5,B,1,1,20,0,7.0,175,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
98,80,14L5,B,1,1,23,0,0.25,6,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
99,81,14L5,B,1,1,23,0,0.5,13,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
100,82,14L5,B,1,1,23,0,0.75,19,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
101,83,14L5,B,1,1,23,0,1.0,25,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
102,84,14L5,B,1,1,23,0,1.5,38,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
103,85,14L5,B,1,1,23,0,2.25,56,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
104,86,14L5,B,1,1,23,0,3.5,88,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
105,87,14L5,B,1,1,23,0,5.25,131,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
106,40,14L5,B,0,0,31,2,0.25,6,1.0,1,0,0,0,0.0,0,0,1
107,41,14L5,B,0,0,31,2,0.5,13,1.0,1,0,0,0,0.0,0,0,1
108,42,14L5,B,0,0,31,2,0.75,19,1.0,1,0,0,0,0.0,0,0,1
109,43,14L5,B,0,0,31,2,1.0,25,1.0,1,0,0,0,0.0,1,0,1
110,44,14L5,B,0,0,31,2,1.5,38,1.0,1,0,0,0,0.0,1,0,1
111,45,14L5,B,0,0,31,2,2.25,56,1.0,1,0,0,0,0.0,1,0,1
112,46,14L5,B,0,0,31,2,3.5,88,1.0,1,0,0,0,0.0,1,0,1
113,47,14L5,B,0,0,31,2,5.25,131,1.0,1,0,0,0,0.0,1,0,1
114,157,14L5,B,0,0,31,2,7.0,175,1.0,1,0,0,0,0.0,1,0,1
115,72,14L5,B,1,1,20,0,0.25,6,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
116,73,14L5,B,1,1,20,0,0.5,13,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
117,74,14L5,B,1,1,20,0,0.75,19,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
118,75,14L5,B,1,1,20,0,1.0,25,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
119,76,14L5,B,1,1,20,0,1.5,38,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
120,77,14L5,B,1,1,20,0,2.25,56,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
121,78,14L5,B,1,1,20,0,3.5,88,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
122,79,14L5,B,1,1,20,0,5.25,131,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
123,161,14L5,B,1,1,20,0,7.0,175,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
124,56,14L5,B,1,1,17,0,0.25,6,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
125,57,14L5,B,1,1,17,0,0.5,13,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
126,58,14L5,B,1,1,17,0,0.75,19,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
127,59,14L5,B,1,1,17,0,1.0,25,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
128,60,14L5,B,1,1,17,0,1.5,38,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
129,61,14L5,B,1,1,17,0,2.25,56,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
130,62,14L5,B,1,1,17,0,3.5,88,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
131,63,14L5,B,1,1,17,0,5.25,131,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
132,159,14L5,B,1,1,17,0,7.0,175,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
133,88,14L5,B,1,1,23,0,0.25,6,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
134,89,14L5,B,1,1,23,0,0.5,13,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
135,90,14L5,B,1,1,23,0,0.75,19,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
136,91,14L5,B,1,1,23,0,1.0,25,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
137,92,14L5,B,1,1,23,0,1.5,38,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
138,93,14L5,B,1,1,23,0,2.25,56,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
139,94,14L5,B,1,1,23,0,3.5,88,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
140,95,14L5,B,1,1,23,0,5.25,131,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
141,0,14L5,B,0,0,25,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1
142,1,14L5,B,0,0,25,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1
143,2,14L5,B,0,0,25,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1
144,96,14L5,B,0,0,25,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1
145,97,14L5,B,0,0,25,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1
146,3,14L5,B,0,0,25,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1
147,98,14L5,B,0,0,25,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1
148,4,14L5,B,0,0,25,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1
149,99,14L5,B,0,0,25,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1
150,5,14L5,B,0,0,25,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1
151,100,14L5,B,0,0,25,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1
152,101,14L5,B,0,0,25,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1
153,102,14L5,B,0,0,25,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1
154,6,14L5,B,0,0,25,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1
155,103,14L5,B,0,0,25,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1
156,7,14L5,B,0,0,25,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1
157,152,14L5,B,0,0,25,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1
158,16,14L5,B,0,0,28,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1
159,17,14L5,B,0,0,28,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1
160,18,14L5,B,0,0,28,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1
161,104,14L5,B,0,0,28,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1
162,105,14L5,B,0,0,28,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1
163,19,14L5,B,0,0,28,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1
164,106,14L5,B,0,0,28,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1
165,20,14L5,B,0,0,28,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1
166,107,14L5,B,0,0,28,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1
167,21,14L5,B,0,0,28,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1
168,108,14L5,B,0,0,28,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1
169,109,14L5,B,0,0,28,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1
170,110,14L5,B,0,0,28,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1
171,22,14L5,B,0,0,28,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1
172,111,14L5,B,0,0,28,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1
173,23,14L5,B,0,0,28,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1
174,154,14L5,B,0,0,28,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1
175,32,14L5,B,0,0,30,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1
176,33,14L5,B,0,0,30,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1
177,34,14L5,B,0,0,30,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1
