,ISTXCHANNELMODULATIONEN,PROBENUMTXCYCLES,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXPULSERLE,ELEVAPERINDEX,TXFOCUSLOCCM,NUMTXELEMENTS,size
131,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,5.25,131,2
132,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,7.0,175,2
133,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0,0.25,6,1
134,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0,0.5,13,1
135,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0,0.75,19,1
136,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,1,1.0,25,1
137,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,1,1.5,38,1
138,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,1,2.25,56,1
139,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,1,3.5,88,1
140,1,1.36,23,0,1.3571:0.1429:-1.3571:0.1429:1.3571,1,5.25,131,1
141,1,1.5,25,2,0,0,0.25,6,2
142,1,1.5,25,2,0,0,0.5,13,2
143,1,1.5,25,2,0,0,0.75,19,2
144,1,1.5,25,2,0,1,0.5,8,2
145,1,1.5,25,2,0,1,1.0,17,2
146,1,1.5,25,2,0,1,1.0,25,2
147,1,1.5,25,2,0,1,1.5,25,2
148,1,1.5,25,2,0,1,1.5,38,2
149,1,1.5,25,2,0,1,2.0,33,2
150,1,1.5,25,2,0,1,2.25,56,2
151,1,1.5,25,2,0,1,2.5,42,2
152,1,1.5,25,2,0,1,3.0,50,2
153,1,1.5,25,2,0,1,3.5,58,2
154,1,1.5,25,2,0,1,3.5,88,2
155,1,1.5,25,2,0,1,4.0,67,2
156,1,1.5,25,2,0,1,5.25,131,2
157,1,1.5,25,2,0,1,7.0,175,2
158,1,1.5,28,2,0,0,0.25,6,2
159,1,1.5,28,2,0,0,0.5,13,2
160,1,1.5,28,2,0,0,0.75,19,2
161,1,1.5,28,2,0,1,0.5,8,2
162,1,1.5,28,2,0,1,1.0,17,2
163,1,1.5,28,2,0,1,1.0,25,2
164,1,1.5,28,2,0,1,1.5,25,2
165,1,1.5,28,2,0,1,1.5,38,2
166,1,1.5,28,2,0,1,2.0,33,2
167,1,1.5,28,2,0,1,2.25,56,2
168,1,1.5,28,2,0,1,2.5,42,2
169,1,1.5,28,2,0,1,3.0,50,2
170,1,1.5,28,2,0,1,3.5,58,2
171,1,1.5,28,2,0,1,3.5,88,2
172,1,1.5,28,2,0,1,4.0,67,2
173,1,1.5,28,2,0,1,5.25,131,2
174,1,1.5,28,2,0,1,7.0,175,2
175,1,1.5,30,2,0,0,0.25,6,2
176,1,1.5,30,2,0,0,0.5,13,2
177,1,1.5,30,2,0,0,0.75,19,2
178,1,1.5,30,2,0,1,0.5,8,2
179,1,1.5,30,2,0,1,1.0,17,2
180,1,1.5,30,2,0,1,1.0,25,2
181,1,1.5,30,2,0,1,1.5,25,2
182,1,1.5,30,2,0,1,1.5,38,2
183,1,1.5,30,2,0,1,2.0,33,2
184,1,1.5,30,2,0,1,2.25,56,2
185,1,1.5,30,2,0,1,2.5,42,2
186,1,1.5,30,2,0,1,3.0,50,2
187,1,1.5,30,2,0,1,3.5,58,2
188,1,1.5,30,2,0,1,3.5,88,2
189,1,1.5,30,2,0,1,4.0,67,2
190,1,1.5,30,2,0,1,5.25,131,2
191,1,1.5,30,2,0,1,7.0,175,2
192,1,2.0,25,2,0,0,0.25,6,2
193,1,2.0,25,2,0,0,0.5,13,2
194,1,2.0,25,2,0,0,0.75,19,2
195,1,2.0,25,2,0,1,1.0,25,2
196,1,2.0,25,2,0,1,1.5,38,2
197,1,2.0,25,2,0,1,2.25,56,2
198,1,2.0,25,2,0,1,3.5,88,2
199,1,2.0,25,2,0,1,5.25,131,2
200,1,2.0,25,2,0,1,7.0,175,2
201,1,2.0,28,2,0,0,0.25,6,2
202,1,2.0,28,2,0,0,0.5,13,2
203,1,2.0,28,2,0,0,0.75,19,2
204,1,2.0,28,2,0,1,1.0,25,2
205,1,2.0,28,2,0,1,1.5,38,2
206,1,2.0,28,2,0,1,2.25,56,2
207,1,2.0,28,2,0,1,3.5,88,2
208,1,2.0,28,2,0,1,5.25,131,2
209,1,2.0,28,2,0,1,7.0,175,2
210,1,4.0,22,1,0,0,0.25,3,1
211,1,4.0,22,1,0,0,0.5,6,1
212,1,4.0,22,1,0,0,0.75,9,1
213,1,4.0,22,1,0,1,1.0,13,1
214,1,4.0,22,1,0,1,1.5,19,1
215,1,4.0,22,1,0,1,2.25,28,1
