,measSetId,probeId,beamstyleIndex,txFrequencyHz,focusRangeCm,numTxElements,txpgWaveformStyle,numTxCycles,elevAperIndex,IsTxAperModulationEn,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1,measResId,zt,RankNo
2844,8780,11289564,1,2666700.0,3.0,71,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9334,1.600000023841858,1
2845,8781,11289564,1,2666700.0,4.0,76,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9335,1.7000000476837158,1
2846,8782,11289564,1,2666700.0,6.0,84,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9336,1.7999999523162842,1
2847,8783,11289564,1,2666700.0,8.0,86,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9337,1.7999999523162842,1
2848,8784,11289564,1,2857100.0,0.5,26,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9339,1.7000000476837158,1
2849,8785,11289564,1,2857100.0,1.0,49,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9340,1.5,1
2850,8786,11289564,1,2857100.0,1.5,56,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9341,1.5,1
2851,8787,11289564,1,2857100.0,2.0,65,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9342,1.5,1
2852,8788,11289564,1,2857100.0,3.0,71,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9343,1.600000023841858,1
2853,8789,11289564,1,2857100.0,4.0,76,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9344,1.600000023841858,1
2854,8790,11289564,1,2857100.0,6.0,84,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9345,1.7000000476837158,1
2855,8791,11289564,1,2857100.0,8.0,86,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9346,1.7999999523162842,1
2856,8792,11289564,1,3333300.0,0.5,26,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9347,1.600000023841858,1
2857,8793,11289564,1,3333300.0,1.0,49,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9348,1.5,1
2858,8794,11289564,1,3333300.0,1.5,56,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9349,1.2999999523162842,1
2859,8795,11289564,1,3333300.0,2.0,65,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9350,1.399999976158142,1
2860,8796,11289564,1,3333300.0,3.0,71,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9351,1.399999976158142,1
2861,8797,11289564,1,3333300.0,4.0,76,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9352,1.5,1
2862,8798,11289564,1,3333300.0,6.0,84,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9353,1.600000023841858,1
2863,8799,11289564,1,3333300.0,8.0,86,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9354,1.600000023841858,1
2864,8800,11289564,1,3809500.0,0.5,26,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9355,1.600000023841858,1
2865,8801,11289564,1,3809500.0,1.0,49,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9356,1.5,1
2866,8802,11289564,1,3809500.0,1.5,56,1,1.5,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9357,1.2999999523162842,1
