,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
22,B,3,1,3,1,15,97,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,4.8
23,B,3,1,3,1,18,97,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
24,B,2,1,5,1,2,22,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,45.0,4.5
25,B,2,1,5,1,4,43,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,75.0,4.5
26,B,2,1,5,1,6,65,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,75.0,4.4
27,B,2,1,5,1,8,70,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,115.0,4.4
28,B,2,1,5,1,10,70,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,135.0,4.1
29,B,2,1,5,1,12,70,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,135.0,4.1
30,B,2,1,5,1,15,70,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,135.0,4.2
31,B,2,1,5,1,18,70,2.0,0,0,0,0,,1,,1,4,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,20,1538500,56.04,135.0,4.4
32,B,3,1,5,1,2,22,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,45.0,4.6
33,B,3,1,5,1,4,43,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,75.0,4.4
34,B,3,1,5,1,6,65,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,75.0,4.3
35,B,3,1,5,1,8,87,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,115.0,4.6
36,B,3,1,5,1,10,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0,4.3
37,B,3,1,5,1,12,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0,4.4
38,B,3,1,5,1,15,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0,4.4
39,B,3,1,5,1,18,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0,4.4
40,B,3,1,7,1,2,30,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,45.0,4.4
41,B,3,1,7,1,4,44,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0,4.4
