,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,Count,OrgIndex,bsIndexTrace,TxFrequencyHz
108,30,150,14L5,B,1,1,23,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300
109,31,151,14L5,B,1,1,23,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,2,1,20,5714300
110,80,48,14L5,B,1,1,17,0,0.25,6,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000
111,81,49,14L5,B,1,1,17,0,0.5,13,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000
112,82,50,14L5,B,1,1,17,0,0.75,19,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1,2,1,20,4000000
113,83,51,14L5,B,1,1,17,0,1.0,25,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
114,84,52,14L5,B,1,1,17,0,1.5,38,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
115,85,53,14L5,B,1,1,17,0,2.25,56,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
116,86,54,14L5,B,1,1,17,0,3.5,88,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
117,87,55,14L5,B,1,1,17,0,5.25,131,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
118,88,158,14L5,B,1,1,17,0,7.0,175,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,2,1,20,4000000
119,89,64,14L5,B,1,1,20,0,0.25,6,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1,2,1,20,4705900
120,90,65,14L5,B,1,1,20,0,0.5,13,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1,2,1,20,4705900
121,91,66,14L5,B,1,1,20,0,0.75,19,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1,2,1,20,4705900
122,92,67,14L5,B,1,1,20,0,1.0,25,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
123,93,68,14L5,B,1,1,20,0,1.5,38,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
124,94,69,14L5,B,1,1,20,0,2.25,56,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
125,95,70,14L5,B,1,1,20,0,3.5,88,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
126,96,71,14L5,B,1,1,20,0,5.25,131,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
127,97,160,14L5,B,1,1,20,0,7.0,175,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1,2,1,20,4705900
128,98,80,14L5,B,1,1,23,0,0.25,6,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1,1,1,0,5714300
129,99,81,14L5,B,1,1,23,0,0.5,13,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1,1,1,0,5714300
130,100,82,14L5,B,1,1,23,0,0.75,19,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1,1,1,0,5714300
131,101,83,14L5,B,1,1,23,0,1.0,25,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1,1,1,0,5714300
132,102,84,14L5,B,1,1,23,0,1.5,38,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1,1,1,0,5714300
133,103,85,14L5,B,1,1,23,0,2.25,56,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1,1,1,0,5714300
