,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
51,B,1,1,16,1,2.0,19,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
52,B,1,1,16,1,3.0,28,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
53,B,1,1,16,1,4.0,39,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,75.0,2.0
54,B,1,1,16,1,6.0,44,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,75.0,2.0
55,B,1,1,16,1,8.0,46,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,115.0,2.0
56,B,1,1,17,1,0.5,5,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.1
57,B,1,1,17,1,1.0,10,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.1
58,B,1,1,17,1,1.5,16,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
59,B,1,1,17,1,2.0,21,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
60,B,1,1,17,1,3.0,39,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
61,B,1,1,17,1,4.0,42,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,75.0,2.0
62,B,1,1,17,1,6.0,44,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,75.0,2.0
63,B,1,1,17,1,8.0,46,1.5,0,0,0,0,,1,,1,8,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,115.0,2.0
0,Cb,0,5,16,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
1,Cb,0,5,16,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
2,Cb,0,5,16,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,2.0
3,Cb,0,5,16,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
4,Cb,0,5,16,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
5,Cb,0,5,16,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,75.0,1.9
6,Cb,0,5,16,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,75.0,1.9
7,Cb,0,5,16,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1,9,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,115.0,1.9
8,Cb,0,5,16,1,0.5,5,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
9,Cb,0,5,16,1,1.0,10,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
10,Cb,0,5,16,1,1.5,16,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
11,Cb,0,5,16,1,2.0,21,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
12,Cb,0,5,16,1,3.0,28,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,45.0,1.9
13,Cb,0,5,16,1,4.0,29,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,75.0,2.0
14,Cb,0,5,16,1,6.0,32,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,75.0,2.0
15,Cb,0,5,16,1,8.0,33,4.0,0,0,0,0,0.0,0,0.0,1,10,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,5,10,3809500,56.04,115.0,2.0
